word,COCA-Acad,ppm,ratio,disp
factor,43871.00,365.59,2.43,0.92
since,43548.00,362.90,1,0.96
interest,43498.00,362.48,1.51,0.95
allow,43431.00,361.93,1.22,0.95
follow,42590.00,354.92,1.15,0.96
culture,42561.00,354.68,2.06,0.93
force,42481.00,354.01,1.28,0.91
word,42360.00,353.00,0.89,0.94
here,42242.00,352.02,0.33,0.96
need,42193.00,351.61,1.82,0.95
base,42082.00,350.68,1.8,0.95
every,41932.00,349.43,0.63,0.96
whether,41703.00,347.53,1.11,0.95
body,41670.00,347.25,1.08,0.93
feel,41534.00,346.12,0.49,0.96
including,41265.00,343.88,1.27,0.95
population,40902.00,340.85,2.08,0.92
appear,40754.00,339.62,1.32,0.94
yet,40751.00,339.59,0.97,0.95
international,40746.00,339.55,1.61,0.91
age,40706.00,339.22,1.27,0.93
hold,40487.00,337.39,0.74,0.96
before,40417.00,336.81,0.75,0.96
city,40205.00,335.04,0.7,0.94
technology,40104.00,334.20,1.84,0.88
keep,39940.00,332.83,0.55,0.95
mean,39879.00,332.33,0.52,0.96
million,39747.00,331.23,0.79,0.9
business,39732.00,331.10,0.84,0.92
tell,39730.00,331.08,0.33,0.96
local,39610.00,330.08,1.37,0.94
market,39469.00,328.91,1.28,0.92
idea,39377.00,328.14,1.03,0.96
individual,39359.00,327.99,2.32,0.93
four,39350.00,327.92,0.84,0.95
effort,39316.00,327.63,1.47,0.94
leave,38998.00,324.98,0.52,0.96
center,38946.00,324.55,1.03,0.94
type,38893.00,324.11,1.85,0.93
offer,38774.00,323.12,1.18,0.96
try,38511.00,320.93,0.42,0.96
describe,38500.00,320.83,1.75,0.95
person,38459.00,320.49,1.09,0.93
believe,38406.00,320.05,0.7,0.96
understand,38406.00,320.05,1.02,0.96
second,38393.00,319.94,1.19,0.96
remain,38175.00,318.13,1.35,0.94
indicate,38022.00,316.85,2.34,0.92
image,38020.00,316.83,1.7,0.89
least,37707.00,314.23,0.98,0.96
possible,37704.00,314.20,1.44,0.95
subject,37608.00,313.40,2.02,0.94
less,37524.00,312.70,1.47,0.96
bring,37489.00,312.41,0.69,0.96
young,37278.00,310.65,0.75,0.95
science,37253.00,310.44,1.92,0.88
material,37206.00,310.05,1.97,0.91
produce,37198.00,309.98,1.65,0.92
continue,37152.00,309.60,0.95,0.95
condition,36933.00,307.78,1.88,0.94
photo,36840.00,307.00,1.34,0.89
identify,36820.00,306.83,2.22,0.94
down,36766.00,306.38,0.36,0.95
end,36756.00,306.30,0.88,0.95
home,36730.00,306.08,0.69,0.95
knowledge,36633.00,305.28,2.36,0.94
support,36597.00,304.98,1.7,0.94
never,36521.00,304.34,0.45,0.96
field,36475.00,303.96,1.28,0.91
last,36454.00,303.78,0.41,0.95
book,36437.00,303.64,0.76,0.95
live,36360.00,303.00,0.67,0.94
performance,36344.00,302.87,1.96,0.92
project,36260.00,302.17,1.51,0.92
response,36231.00,301.93,2.08,0.94
toward,36135.00,301.13,1.11,0.95
approach,36092.00,300.77,2.14,0.95
support,36072.00,300.60,1.52,0.95
action,35869.00,298.91,1.46,0.94
receive,35761.00,298.01,1.44,0.95
hand,35745.00,297.88,0.52,0.96
period,35597.00,296.64,1.8,0.95
organization,35398.00,294.98,1.7,0.94
black,35362.00,294.68,0.77,0.93
increase,35289.00,294.08,1.89,0.93
though,35265.00,293.88,0.75,0.96
environmental,35191.00,293.26,2.26,0.87
view,35174.00,293.12,1.4,0.94
major,35104.00,292.53,1.31,0.95
put,35086.00,292.38,0.48,0.96
move,35027.00,291.89,0.63,0.94
source,34883.00,290.69,1.7,0.94
story,34626.00,288.55,0.68,0.93
why,34610.00,288.42,0.47,0.96
reason,34602.00,288.35,1.05,0.96
themselves,34548.00,287.90,1.32,0.95
according,34471.00,287.26,1.32,0.96
line,34449.00,287.08,0.82,0.92
nature,34413.00,286.78,1.91,0.94
site,34284.00,285.70,1.44,0.9
cultural,34239.00,285.33,2.46,0.91
serve,34159.00,284.66,1.09,0.96
back,34101.00,284.18,0.3,0.95
where,34053.00,283.78,0.56,0.95
resource,33989.00,283.24,2.07,0.93
sense,33907.00,282.56,1.14,0.94
century,33736.00,281.13,1.68,0.93
today,33636.00,280.30,0.59,0.95
out,33603.00,280.03,0.45,0.96
strategy,33515.00,279.29,2.19,0.94
change,33392.00,278.27,0.88,0.95
on,33299.00,277.49,0.45,0.96
cost,33249.00,277.08,1.46,0.92
long,33193.00,276.61,0.75,0.95
theory,33143.00,276.19,2.36,0.94
product,33132.00,276.10,1.53,0.91
method,33105.00,275.88,2.49,0.93
goal,33049.00,275.41,1.79,0.95
much,33021.00,275.18,0.85,0.95
position,33008.00,275.07,1.4,0.96
white,32961.00,274.68,0.85,0.93
likely,32958.00,274.65,1.68,0.94
note,32829.00,273.58,1.87,0.96
well,32763.00,273.03,1.74,0.95
president,32729.00,272.74,0.58,0.91
represent,32705.00,272.54,1.81,0.94
play,32580.00,271.50,0.56,0.95
over,32492.00,270.77,0.5,0.96
nation,32284.00,269.03,1.07,0.91
turn,32073.00,267.28,0.47,0.94
month,31976.00,266.47,0.63,0.94
set,31813.00,265.11,0.82,0.95
general,31754.00,264.62,1.66,0.96
decision,31706.00,264.22,1.24,0.95
article,31513.00,262.61,1.85,0.95
event,31498.00,262.48,1.35,0.94
so,31447.00,262.06,0.55,0.94
especially,31406.00,261.72,1.33,0.96
similar,31385.00,261.54,1.9,0.94
color,31210.00,260.08,1.11,0.9
itself,31137.00,259.48,1.43,0.94
environment,31116.00,259.30,2.08,0.92
language,31095.00,259.13,1.79,0.93
determine,31067.00,258.89,1.95,0.94
structure,30887.00,257.39,2.31,0.93
section,30856.00,257.13,2.05,0.91
always,30787.00,256.56,0.55,0.96
common,30755.00,256.29,1.78,0.96
start,30721.00,256.01,0.46,0.94
occur,30702.00,255.85,1.91,0.94
current,30626.00,255.22,1.67,0.94
available,30610.00,255.08,1.56,0.92
meet,30486.00,254.05,0.76,0.96
present,30357.00,252.98,1.97,0.95
five,30351.00,252.93,0.78,0.96
next,30162.00,251.35,0.55,0.94
personal,30075.00,250.63,1.44,0.95
explain,30005.00,250.04,1.2,0.95
term,29927.00,249.39,1.61,0.95
something,29862.00,248.85,0.37,0.95
energy,29854.00,248.78,1.47,0.87
reduce,29853.00,248.78,1.69,0.92
add,29760.00,248.00,0.8,0.93
long,29676.00,247.30,0.64,0.94
build,29607.00,246.73,0.99,0.93
measure,29534.00,246.12,2.16,0.93
read,29528.00,246.07,0.83,0.95
able,29502.00,245.85,0.92,0.96
after,29480.00,245.67,0.67,0.95
involve,29330.00,244.42,1.6,0.96
movement,29315.00,244.29,1.68,0.93
job,29278.00,243.98,0.6,0.96
recent,28902.00,240.85,1.32,0.95
specific,28840.00,240.33,2.22,0.95
kind,28768.00,239.73,0.6,0.95
almost,28745.00,239.54,0.73,0.95
focus,28692.00,239.10,1.57,0.95
side,28689.00,239.08,0.61,0.94
than,28657.00,238.81,1.67,0.96
strong,28634.00,238.62,1.11,0.95
region,28595.00,238.29,1.82,0.9
relate,28592.00,238.27,2.35,0.93
opportunity,28578.00,238.15,1.48,0.95
there,28569.00,238.08,0.28,0.95
worker,28545.00,237.88,1.31,0.89
individual,28495.00,237.46,2.19,0.95
space,28403.00,236.69,1.21,0.89
evidence,28325.00,236.04,1.41,0.95
perhaps,28200.00,235.00,1.06,0.95
leader,28165.00,234.71,1.05,0.92
quality,28155.00,234.63,1.75,0.94
later,28051.00,233.76,0.72,0.95
only,27989.00,233.24,0.77,0.95
establish,27926.00,232.72,2,0.95
big,27814.00,231.78,0.39,0.92
land,27717.00,230.98,1.25,0.9
author,27714.00,230.95,1.51,0.96
sample,27646.00,230.38,2.72,0.9
seek,27629.00,230.24,1.53,0.95
compare,27616.00,230.13,1.86,0.93
again,27518.00,229.32,0.43,0.96
run,27391.00,228.26,0.47,0.93
growth,27328.00,227.73,1.75,0.95
price,27314.00,227.62,1,0.91
situation,27284.00,227.37,1.22,0.95
natural,27263.00,227.19,1.6,0.91
various,27132.00,226.10,1.9,0.95
report,27117.00,225.98,1.04,0.95
real,27091.00,225.76,0.71,0.96
upon,27049.00,225.41,1.55,0.95
together,27049.00,225.41,0.73,0.95
once,27024.00,225.20,0.69,0.96
standard,26890.00,224.08,1.75,0.94
team,26866.00,223.88,0.65,0.89
example,26843.00,223.69,1.84,0.95
already,26776.00,223.13,0.75,0.95
pay,26718.00,222.65,0.65,0.94
best,26707.00,222.56,0.69,0.95
money,26673.00,222.28,0.52,0.93
management,26648.00,222.07,1.91,0.92
scale,26610.00,221.75,2.5,0.91
across,26429.00,220.24,0.8,0.93
argue,26358.00,219.65,1.68,0.94
degree,26200.00,218.33,1.68,0.94
house,26142.00,217.85,0.43,0.94
design,26112.00,217.60,1.73,0.86
computer,26106.00,217.55,1.28,0.87
plan,25976.00,216.47,0.87,0.96
per,25972.00,216.43,1.41,0.9
concern,25937.00,216.14,1.52,0.95
state,25860.00,215.50,1.74,0.95
therefore,25808.00,215.07,2.36,0.95
examine,25731.00,214.43,2.32,0.91
rule,25716.00,214.30,1.37,0.92
pattern,25705.00,214.21,2.07,0.93
industry,25627.00,213.56,1.15,0.92
because,25574.00,213.12,1.08,0.95
around,25450.00,212.08,0.57,0.93
researcher,25445.00,212.04,2.34,0.89
expect,25414.00,211.78,0.86,0.95
certain,25281.00,210.68,1.23,0.96
task,25244.00,210.37,2.09,0.93
traditional,25145.00,209.54,1.88,0.95
security,24986.00,208.22,1.06,0.9
finding,24873.00,207.28,2.8,0.9
positive,24803.00,206.69,2.03,0.92
department,24788.00,206.57,1.19,0.95
central,24774.00,206.45,1.53,0.94
act,24769.00,206.41,1.58,0.92
lose,24758.00,206.32,0.59,0.96
grow,24753.00,206.28,0.73,0.94
until,24742.00,206.18,0.56,0.95
cause,24704.00,205.87,1.24,0.92
matter,24612.00,205.10,1.15,0.94
impact,24599.00,204.99,1.79,0.93
less,24481.00,204.01,1.27,0.94
reflect,24309.00,202.58,1.94,0.95
order,24247.00,202.06,1.4,0.95
whose,24236.00,201.97,1.06,0.96
free,24205.00,201.71,0.95,0.94
name,24201.00,201.68,0.62,0.95
recognize,24165.00,201.38,1.56,0.96
context,24121.00,201.01,2.67,0.94
either,24012.00,200.10,1.16,0.95
rather,23868.00,198.90,1.87,0.96
relation,23867.00,198.89,2.13,0.92
maintain,23831.00,198.59,1.79,0.95
African,23820.00,198.50,2.213995359,0.909087588
concept,23812.00,198.43,2.31,0.95
death,23810.00,198.42,0.82,0.94
discussion,23781.00,198.18,1.94,0.95
size,23720.00,197.67,1.49,0.88
hour,23589.00,196.58,0.55,0.93
associate,23565.00,196.38,2.49,0.92
third,23513.00,195.94,1.13,0.96
difficult,23475.00,195.63,1.19,0.95
attention,23382.00,194.85,1.16,0.96
office,23358.00,194.65,0.66,0.95
along,23351.00,194.59,0.89,0.93
design,23346.00,194.55,1.65,0.91
simply,23339.00,194.49,1.14,0.95
particularly,23286.00,194.05,1.51,0.95
purpose,23214.00,193.45,1.88,0.95
address,23176.00,193.13,1.87,0.95
her,23156.00,192.97,0.19,0.94
define,23125.00,192.71,2.22,0.95
mother,23102.00,192.52,0.44,0.92
identity,23097.00,192.48,2.4,0.9
economy,23059.00,192.16,1.2,0.91
particular,23040.00,192.00,1.78,0.95
choose,23035.00,191.96,1.16,0.96
benefit,23018.00,191.82,1.52,0.95
clear,22986.00,191.55,1.08,0.96
survey,22873.00,190.61,2.21,0.92
effective,22853.00,190.44,2.07,0.94
apply,22641.00,188.68,1.73,0.95
reach,22639.00,188.66,0.79,0.94
contain,22632.00,188.60,1.77,0.92
even,22623.00,188.53,0.92,0.96
really,22615.00,188.46,0.27,0.95
success,22544.00,187.87,1.44,0.96
speak,22500.00,187.50,0.61,0.94
spend,22486.00,187.38,0.63,0.96
understanding,22450.00,187.08,2.3,0.95
production,22378.00,186.48,1.73,0.92
form,22341.00,186.18,1.63,0.91
place,22327.00,186.06,1.19,0.95
association,22245.00,185.38,1.64,0.96
off,22240.00,185.33,0.39,0.94
late,22239.00,185.33,0.83,0.94
reveal,22238.00,185.32,1.68,0.94
range,22219.00,185.16,1.74,0.91
affect,22206.00,185.05,1.73,0.94
agency,22167.00,184.73,1.26,0.93
attitude,22142.00,184.52,2.05,0.92
status,22138.00,184.48,2.11,0.94
paper,22129.00,184.41,0.95,0.93
necessary,22087.00,184.06,1.76,0.96
finally,22081.00,184.01,0.87,0.96
better,21979.00,183.16,0.84,0.96
function,21755.00,181.29,2.54,0.94
indeed,21728.00,181.07,1.54,0.94
trade,21683.00,180.69,1.44,0.89
private,21671.00,180.59,1.15,0.94
present,21652.00,180.43,2.33,0.93
global,21589.00,179.91,1.84,0.92
single,21557.00,179.64,1.16,0.93
conflict,21511.00,179.26,2.03,0.92
decade,21497.00,179.14,1.27,0.94
achieve,21493.00,179.11,1.99,0.96
conduct,21428.00,178.57,1.98,0.93
critical,21381.00,178.18,1.93,0.95
perform,21379.00,178.16,1.66,0.94
choice,21255.00,177.13,1.14,0.96
TRUE,21207.00,176.73,0.86,0.95
American,21132.00,176.10,0.934677027,0.910962367
let,21051.00,175.43,0.28,0.95
discuss,21017.00,175.14,1.53,0.95
father,20982.00,174.85,0.47,0.92
amount,20943.00,174.53,1.36,0.92
carry,20930.00,174.42,0.86,0.94
air,20921.00,174.34,0.64,0.88
exist,20901.00,174.18,1.73,0.95
friend,20741.00,172.84,0.46,0.95
improve,20714.00,172.62,1.65,0.94
observe,20645.00,172.04,2.2,0.92
demonstrate,20624.00,171.87,2.3,0.95
unit,20604.00,171.70,1.63,0.9
total,20559.00,171.33,1.69,0.94
six,20546.00,171.22,0.73,0.95
modern,20470.00,170.58,1.72,0.94
authority,20461.00,170.51,1.39,0.93
set,20460.00,170.50,1.46,0.93
raise,20445.00,170.38,0.76,0.97
despite,20432.00,170.27,1.28,0.95
literature,20400.00,170.00,2.52,0.93
happen,20317.00,169.31,0.36,0.95
full,20206.00,168.38,0.84,0.95
bad,20147.00,167.89,0.48,0.96
head,20147.00,167.89,0.41,0.95
result,20138.00,167.82,2.21,0.94
experience,20056.00,167.13,1.89,0.93
principle,20005.00,166.71,2.18,0.94
early,19894.00,165.78,0.85,0.96
poor,19874.00,165.62,1.2,0.95
element,19799.00,164.99,1.95,0.93
challenge,19765.00,164.71,1.53,0.95
send,19733.00,164.44,0.66,0.93
ever,19702.00,164.18,0.47,0.95
share,19692.00,164.10,1.17,0.96
all,19674.00,163.95,0.36,0.96
draw,19640.00,163.67,0.98,0.95
control,19621.00,163.51,1.53,0.93
historical,19615.00,163.46,2.34,0.91
probably,19611.00,163.43,0.64,0.94
oil,19536.00,162.80,0.82,0.92
sometimes,19449.00,162.08,0.74,0.96
aspect,19409.00,161.74,2.16,0.95
step,19348.00,161.23,0.94,0.95
beyond,19338.00,161.15,1.23,0.95
future,19301.00,160.84,1.08,0.95
loss,19230.00,160.25,1.25,0.94
perspective,19185.00,159.88,2.15,0.95
usually,19177.00,159.81,1.17,0.95
basic,19145.00,159.54,1.81,0.95
measure,19093.00,159.11,2.16,0.91
tradition,19091.00,159.09,1.93,0.91
adult,19080.00,159.00,1.49,0.92
belief,19073.00,158.94,2.14,0.92
western,19006.00,158.38,1.67,0.92
past,18997.00,158.31,1.08,0.95
enough,18910.00,157.58,0.58,0.93
procedure,18907.00,157.56,2.12,0.93
test,18883.00,157.36,1.58,0.9
category,18881.00,157.34,2.25,0.93
fall,18877.00,157.31,0.63,0.96
study,18872.00,157.27,1.37,0.93
north,18862.00,157.18,0.71,0.91
actually,18823.00,156.86,0.57,0.95
tend,18816.00,156.80,1.61,0.95
return,18775.00,156.46,0.74,0.95
throughout,18759.00,156.33,1.53,0.95
face,18722.00,156.02,0.86,0.96
technique,18672.00,155.60,2.04,0.91
animal,18643.00,155.36,1.14,0.87
outcome,18636.00,155.30,2.56,0.92
significantly,18615.00,155.13,2.74,0.92
generally,18534.00,154.45,1.83,0.95
mind,18464.00,153.87,0.72,0.94
recently,18434.00,153.62,1.06,0.94
financial,18426.00,153.55,1.21,0.94
accept,18386.00,153.22,1.2,0.95
future,18385.00,153.21,1.88,0.94
mean,18373.00,153.11,2.07,0.95
importance,18368.00,153.07,2.38,0.94
application,18335.00,152.79,2.31,0.87
feature,18310.00,152.58,1.78,0.89
building,18116.00,150.97,0.75,0.94
like,18115.00,150.96,0.32,0.97
influence,18105.00,150.88,2.07,0.94
easy,18095.00,150.79,0.81,0.93
right,18095.00,150.79,0.46,0.94
director,18085.00,150.71,0.73,0.95
network,18082.00,150.68,1.29,0.92
operation,18011.00,150.09,1.24,0.9
game,17991.00,149.93,0.4,0.91
hear,17960.00,149.67,0.3,0.95
administration,17947.00,149.56,0.92,0.92
basis,17933.00,149.44,1.94,0.95
ago,17933.00,149.44,0.46,0.92
interaction,17901.00,149.18,3.01,0.91
himself,17896.00,149.13,0.53,0.93
agree,17862.00,148.85,0.75,0.96
refer,17809.00,148.41,1.69,0.95
point,17763.00,148.03,0.91,0.95
communication,17757.00,147.98,1.8,0.95
negative,17740.00,147.83,2.15,0.92
stand,17730.00,147.75,0.41,0.95
former,17725.00,147.71,0.63,0.94
primary,17725.00,147.71,2.18,0.94
better,17681.00,147.34,0.73,0.96
clearly,17665.00,147.21,1.26,0.96
characteristic,17663.00,147.19,2.92,0.92
enter,17654.00,147.12,1.06,0.95
nearly,17625.00,146.88,0.87,0.93
fail,17612.00,146.77,1.19,0.95
rather,17593.00,146.61,1.23,0.95
ground,17563.00,146.36,0.76,0.93
stage,17557.00,146.31,1.22,0.95
simple,17540.00,146.17,1.12,0.92
light,17531.00,146.09,0.65,0.85
European,17512.00,145.93,1.813230365,0.913690956
lack,17504.00,145.87,1.75,0.95
nothing,17503.00,145.86,0.45,0.95
reality,17500.00,145.83,1.46,0.93
obtain,17489.00,145.74,2.32,0.93
potential,17472.00,145.60,1.8,0.94
variety,17471.00,145.59,1.68,0.93
talk,17437.00,145.31,0.25,0.96
popular,17433.00,145.28,1.34,0.93
component,17228.00,143.57,2.54,0.91
following,17205.00,143.38,2.11,0.95
eye,17179.00,143.16,0.33,0.94
pass,17160.00,143.00,0.64,0.93
respond,17151.00,142.93,1.32,0.96
access,17146.00,142.88,1.55,0.94
main,17118.00,142.65,1.26,0.94
contribute,17112.00,142.60,1.84,0.95
away,17076.00,142.30,0.38,0.94
course,17051.00,142.09,0.57,0.95
account,17015.00,141.79,1.5,0.95
far,16974.00,141.45,1.4,0.95
assume,16971.00,141.43,1.53,0.95
express,16963.00,141.36,1.76,0.95
room,16942.00,141.18,0.32,0.96
tool,16929.00,141.08,1.76,0.89
investment,16916.00,140.97,1.43,0.91
promote,16903.00,140.86,1.83,0.95
participate,16873.00,140.61,2.06,0.93
media,16786.00,139.88,1.05,0.94
labor,16780.00,139.83,1.57,0.9
tax,16762.00,139.68,0.66,0.9
engage,16753.00,139.61,1.89,0.94
south,16731.00,139.43,0.6,0.91
review,16718.00,139.32,1.82,0.94
additional,16683.00,139.03,1.81,0.93
